continent,location,date,population,new_cases,new_vaccinations,total_vaccinations,RollingPeopleInfected,RollingPeopleVaccinated,percent_infected,percent_vaccinated
Europe,Latvia,2021-02-24,1886202,983,4314,54644,83445,52683,4.42,2.79
Europe,Latvia,2021-02-25,1886202,813,4181,58825,84258,56864,4.47,3.01
Europe,Latvia,2021-02-26,1886202,725,3365,62190,84983,60229,4.51,3.19
Europe,Latvia,2021-02-27,1886202,827,588,62778,85810,60817,4.55,3.22
Europe,Latvia,2021-02-28,1886202,376,131,62909,86186,60948,4.57,3.23
Europe,Latvia,2021-03-01,1886202,272,1758,64667,86458,62706,4.58,3.32
Europe,Latvia,2021-03-02,1886202,645,2180,66847,87103,64886,4.62,3.44
Europe,Latvia,2021-03-03,1886202,919,4099,70946,88022,68985,4.67,3.66
Europe,Latvia,2021-03-04,1886202,646,5969,76915,88668,74954,4.7,3.97
Europe,Latvia,2021-03-05,1886202,746,4808,81723,89414,79762,4.74,4.23
Europe,Latvia,2021-03-06,1886202,595,770,82493,90009,80532,4.77,4.27
Europe,Latvia,2021-03-07,1886202,322,79,82572,90331,80611,4.79,4.27
Europe,Latvia,2021-03-08,1886202,194,1693,84265,90525,82304,4.8,4.36
Europe,Latvia,2021-03-09,1886202,472,2346,86611,90997,84650,4.82,4.49
Europe,Latvia,2021-03-10,1886202,639,2460,89071,91636,87110,4.86,4.62
Europe,Latvia,2021-03-11,1886202,638,2633,91704,92274,89743,4.89,4.76
Europe,Latvia,2021-03-12,1886202,632,4932,96636,92906,94675,4.93,5.02
Europe,Latvia,2021-03-13,1886202,578,902,97538,93484,95577,4.96,5.07
Europe,Latvia,2021-03-14,1886202,297,72,97610,93781,95649,4.97,5.07
Europe,Latvia,2021-03-15,1886202,178,3722,101332,93959,99371,4.98,5.27
Europe,Latvia,2021-03-16,1886202,643,177,101509,94602,99548,5.02,5.28
Europe,Latvia,2021-03-17,1886202,818,167,101676,95420,99715,5.06,5.29
Europe,Latvia,2021-03-18,1886202,482,273,101949,95902,99988,5.08,5.3
Europe,Latvia,2021-03-19,1886202,622,700,102649,96524,100688,5.12,5.34
Europe,Latvia,2021-03-20,1886202,625,400,103049,97149,101088,5.15,5.36
Europe,Latvia,2021-03-21,1886202,260,24,103073,97409,101112,5.16,5.36
Europe,Latvia,2021-03-22,1886202,177,2606,105679,97586,103718,5.17,5.5
Europe,Latvia,2021-03-23,1886202,508,5450,111129,98094,109168,5.2,5.79
Europe,Latvia,2021-03-24,1886202,776,6098,117227,98870,115266,5.24,6.11
Europe,Latvia,2021-03-25,1886202,606,5357,122584,99476,120623,5.27,6.4
Europe,Latvia,2021-03-26,1886202,638,3985,126569,100114,124608,5.31,6.61
Europe,Latvia,2021-03-27,1886202,602,563,127132,100716,125171,5.34,6.64
Europe,Latvia,2021-03-28,1886202,324,28,127160,101040,125199,5.36,6.64
Europe,Latvia,2021-03-29,1886202,167,2102,129262,101207,127301,5.37,6.75
Europe,Latvia,2021-03-30,1886202,526,4998,134260,101733,132299,5.39,7.01
Europe,Latvia,2021-03-31,1886202,630,5700,139960,102363,137999,5.43,7.32
Europe,Latvia,2021-04-01,1886202,638,4112,144072,103001,142111,5.46,7.53
Europe,Latvia,2021-04-02,1886202,587,562,144634,103588,142673,5.49,7.56
Europe,Latvia,2021-04-03,1886202,279,3351,147985,103867,146024,5.51,7.74
Europe,Latvia,2021-04-04,1886202,238,1620,149605,104105,147644,5.52,7.83
Europe,Latvia,2021-04-05,1886202,119,2854,152459,104224,150498,5.53,7.98
Europe,Latvia,2021-04-06,1886202,309,5361,157820,104533,155859,5.54,8.26
Europe,Latvia,2021-04-07,1886202,643,9128,166948,105176,164987,5.58,8.75
Europe,Latvia,2021-04-08,1886202,740,7021,173969,105916,172008,5.62,9.12
Europe,Latvia,2021-04-09,1886202,658,4807,178776,106574,176815,5.65,9.37
Europe,Latvia,2021-04-10,1886202,666,1624,180400,107240,178439,5.69,9.46
Europe,Latvia,2021-04-11,1886202,368,86,180486,107608,178525,5.71,9.46
Europe,Latvia,2021-04-12,1886202,210,2402,182888,107818,180927,5.72,9.59
Europe,Latvia,2021-04-13,1886202,537,3659,186547,108355,184586,5.74,9.79
Europe,Latvia,2021-04-14,1886202,733,6286,192833,109088,190872,5.78,10.12
Europe,Latvia,2021-04-15,1886202,643,5896,198729,109731,196768,5.82,10.43
Europe,Latvia,2021-04-16,1886202,612,8954,207683,110343,205722,5.85,10.91
Europe,Latvia,2021-04-17,1886202,654,6168,213851,110997,211890,5.88,11.23
Europe,Latvia,2021-04-18,1886202,337,919,214770,111334,212809,5.9,11.28
Europe,Latvia,2021-04-19,1886202,202,3847,218617,111536,216656,5.91,11.49
Europe,Latvia,2021-04-20,1886202,688,7244,225861,112224,223900,5.95,11.87
Europe,Latvia,2021-04-21,1886202,759,10009,235870,112983,233909,5.99,12.4
Europe,Latvia,2021-04-22,1886202,578,9683,245553,113561,243592,6.02,12.91
Europe,Latvia,2021-04-23,1886202,683,10009,255562,114244,253601,6.06,13.45
Europe,Latvia,2021-04-24,1886202,711,5179,260741,114955,258780,6.09,13.72
Europe,Latvia,2021-04-25,1886202,361,1366,262107,115316,260146,6.11,13.79
Europe,Latvia,2021-04-26,1886202,220,4287,266394,115536,264433,6.13,14.02
Europe,Latvia,2021-04-27,1886202,596,6802,273196,116132,271235,6.16,14.38
Europe,Latvia,2021-04-28,1886202,967,13522,286718,117099,284757,6.21,15.1
Europe,Latvia,2021-04-29,1886202,696,12391,299109,117795,297148,6.25,15.75
Europe,Latvia,2021-04-30,1886202,763,8661,307770,118558,305809,6.29,16.21
Asia,Lebanon,2021-02-14,6825442,2130,48,48,339129,48,4.97,0.0
Asia,Lebanon,2021-02-15,6825442,1739,1232,1280,340868,1280,4.99,0.02
Asia,Lebanon,2021-02-16,6825442,2733,1986,3266,343601,3266,5.03,0.05
Asia,Lebanon,2021-02-17,6825442,2479,2666,5932,346080,5932,5.07,0.09
Asia,Lebanon,2021-02-18,6825442,2730,3673,9605,348810,9605,5.11,0.14
Asia,Lebanon,2021-02-19,6825442,2255,3724,13329,351065,13329,5.14,0.2
Asia,Lebanon,2021-02-20,6825442,2306,0,13329,353371,13329,5.18,0.2
Asia,Lebanon,2021-02-21,6825442,1702,0,13329,355073,13329,5.2,0.2
Asia,Lebanon,2021-02-22,6825442,1541,4702,18031,356614,18031,5.22,0.26
Asia,Lebanon,2021-02-23,6825442,2723,3544,21575,359337,21575,5.26,0.32
Asia,Lebanon,2021-02-24,6825442,3513,3818,25393,362850,25393,5.32,0.37
Asia,Lebanon,2021-02-25,6825442,3469,4427,29820,366319,29820,5.37,0.44
Asia,Lebanon,2021-02-26,6825442,3373,5171,34991,369692,34991,5.42,0.51
Asia,Lebanon,2021-02-27,6825442,3100,0,34991,372792,34991,5.46,0.51
Asia,Lebanon,2021-02-28,6825442,2258,5602,40593,375050,40593,5.49,0.59
Asia,Lebanon,2021-03-01,6825442,1888,5266,45859,376938,45859,5.52,0.67
Asia,Lebanon,2021-03-02,6825442,3098,1766,47625,380036,47625,5.57,0.7
Asia,Lebanon,2021-03-03,6825442,3463,6960,54585,383499,54585,5.62,0.8
Asia,Lebanon,2021-03-04,6825442,3369,2889,57474,386868,57474,5.67,0.84
Asia,Lebanon,2021-03-05,6825442,3202,3064,60538,390070,60538,5.71,0.89
Asia,Lebanon,2021-03-06,6825442,3158,202,60740,393228,60740,5.76,0.89
Asia,Lebanon,2021-03-07,6825442,2376,590,61330,395604,61330,5.8,0.9
Asia,Lebanon,2021-03-08,6825442,2283,2677,64007,397887,64007,5.83,0.94
Asia,Lebanon,2021-03-09,6825442,3939,967,64974,401826,64974,5.89,0.95
Asia,Lebanon,2021-03-10,6825442,3581,22242,87216,405407,87216,5.94,1.28
Asia,Lebanon,2021-03-11,6825442,3502,4751,91967,408909,91967,5.99,1.35
Asia,Lebanon,2021-03-12,6825442,2930,3921,95888,411839,95888,6.03,1.4
